ordinal,family,name,prototype,implementation,abi_class,ktf_samsung_confidence,ktf_samsung_selector_kind,ktf_samsung_slot,evidence
133,MC_DB,MC_dbSortRecords,"M_Int32 MC_dbSortRecords(M_Int32 dbId, M_Int32 *buf, M_Int32 len, M_Int32 (*compare)(const void *, const void *), M_Int32 (*filter)(const void *))",table,word-tail,confirmed,WIPI_SYSCALL_KIND_REGISTRY_GROUP,+0x20,anycall_magichole:analysis/decompiled/wipi_mc_db_spec_adapter.c:433
134,MC_DB,MC_dbGetAccessMode,M_Int32 MC_dbGetAccessMode(M_Char *dataBaseName),table,word-tail,confirmed,WIPI_SYSCALL_KIND_REGISTRY_GROUP,+0x24,anycall_magichole:analysis/decompiled/wipi_mc_db_spec_adapter.c:498
135,MC_DB,MC_dbGetNumberOfRecords,M_Int32 MC_dbGetNumberOfRecords(M_Int32 dbId),table,word-tail,confirmed,WIPI_SYSCALL_KIND_REGISTRY_GROUP,+0x28,anycall_magichole:analysis/decompiled/wipi_mc_db_spec_adapter.c:519
136,MC_DB,MC_dbGetRecordSize,M_Int32 MC_dbGetRecordSize(M_Int32 dbId),table,word-tail,confirmed,WIPI_SYSCALL_KIND_REGISTRY_GROUP,+0x2c,anycall_magichole:analysis/decompiled/wipi_mc_db_spec_adapter.c:529
137,MC_DB,MC_dbListDataBases,"M_Int32 MC_dbListDataBases(M_Byte *buf, M_Int32 len)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_REGISTRY_GROUP,+0x30,anycall_magichole:analysis/decompiled/wipi_mc_db_spec_adapter.c:539
138,MC_KNL,MC_knlCalloc,M_Uint32 MC_knlCalloc(M_Int32 size),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x54,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1119
139,MC_KNL,MC_knlFree,void MC_knlFree(M_Uint32 mID),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x58,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1124
140,MC_KNL,MC_knlGetFreeMemory,M_Int32 MC_knlGetFreeMemory(void),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x60,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1141
141,MC_KNL,MC_knlPrintk,"int MC_knlPrintk(M_Char *format, ...)",table,variadic-unverified,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x00,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:742
142,MC_KNL,MC_knlGetResourceID,"M_Int32 MC_knlGetResourceID(M_Char *resourceName, M_Int32 *size)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x7c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1238
143,MC_KNL,MC_knlGetResource,"M_Int32 MC_knlGetResource(M_Int32 resourceID, void *buf, M_Int32 bufSize)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x80,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1256
144,MC_KNL,MC_knlDefTimer,"void MC_knlDefTimer(MCTimer *tm, TIMERCB cb)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x64,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1146
145,MC_KNL,MC_knlSprintk,"int MC_knlSprintk(M_Char *buf, M_Char *format, ...)",table,variadic-unverified,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x04,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:764
146,MC_KNL,MC_knlGetExecNames,"M_Int32 MC_knlGetExecNames(M_Char *prgName, M_Char *version, M_Char *vendor, M_Char *buf, M_Int32 bufSize)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x08,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:779
147,MC_KNL,MC_knlExecute,"M_Int32 MC_knlExecute(M_Char *execName, M_Int32 parmCnt, ...)",table,variadic-unverified,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x0c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:823
148,MC_KNL,MC_knlExit,void MC_knlExit(M_Int32 exitCode),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x1c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:882
149,MC_KNL,MC_knlProgramStop,M_Int32 MC_knlProgramStop(M_Int32 prgID),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x20,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:891
150,MC_KNL,MC_knlGetCurProgramID,M_Int32 MC_knlGetCurProgramID(void),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x24,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:918
151,MC_KNL,MC_knlGetParentProgramID,M_Int32 MC_knlGetParentProgramID(void),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x28,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:927
152,MC_KNL,MC_knlGetAppManagerID,M_Int32 MC_knlGetAppManagerID(void),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x2c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:939
153,MC_KNL,MC_knlGetProgramInfo,"M_Int32 MC_knlGetProgramInfo(M_Int32 *buf, M_Int32 bufSize)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x30,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:948
154,MC_KNL,MC_knlGetAccessLevel,M_Int32 MC_knlGetAccessLevel(void),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x34,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:991
155,MC_KNL,MC_knlGetProgramName,"M_Int32 MC_knlGetProgramName(M_Char *nameBuf, M_Int32 bufSize)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x38,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1003
156,MC_KNL,MC_knlCreateSharedBuf,"void *MC_knlCreateSharedBuf(const M_Char *name, M_Int32 size)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x3c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1019
157,MC_KNL,MC_knlDestroySharedBuf,M_Int32 MC_knlDestroySharedBuf(void *buf),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x4c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1041
158,MC_KNL,MC_knlGetSharedBuf,void *MC_knlGetSharedBuf(const M_Char *name),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x40,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1054
159,MC_KNL,MC_knlGetSharedBufSize,M_Int32 MC_knlGetSharedBufSize(void *buf),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x44,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1064
160,MC_KNL,MC_knlResizeSharedBuf,"void *MC_knlResizeSharedBuf(void *buf, M_Int32 size)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x48,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1074
161,MC_KNL,MC_knlAlloc,M_Uint32 MC_knlAlloc(M_Int32 size),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x50,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1114
162,MC_KNL,MC_knlGetTotalMemory,M_Int32 MC_knlGetTotalMemory(void),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x5c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1136
163,MC_KNL,MC_knlSetTimer,"M_Int32 MC_knlSetTimer(MCTimer *tm, M_Int64 timeout, void *parm)",table,aapcs-to-packed-i64,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x68,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1155
164,MC_KNL,MC_knlUnsetTimer,void MC_knlUnsetTimer(MCTimer *tm),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x6c,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1185
165,MC_KNL,MC_knlCurrentTime,M_Int64 MC_knlCurrentTime(void),table,return-i64,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x70,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1197
166,MC_KNL,MC_knlGetSystemProperty,"M_Int32 MC_knlGetSystemProperty(M_Char *id, M_Char *rtnBuf, M_Int32 bufSize)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x74,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1205
167,MC_KNL,MC_knlSetSystemProperty,"M_Int32 MC_knlSetSystemProperty(M_Char *id, M_Char *buf)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x78,anycall_magichole:analysis/decompiled/wipi_mc_knl_spec_adapter.c:1227
168,MC_UIC,MC_uicCreateApplicationContext,MC_UicApplicationContext MC_uicCreateApplicationContext(void),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x00,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:466
169,MC_UIC,MC_uicGetClass,MC_UicClass MC_uicGetClass(M_Uint8 *psz),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x04,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:479
170,MC_UIC,MC_uicCreate,"MC_UicComponent MC_uicCreate(MC_UicApplicationContext pac, MC_UicClass cls)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x08,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:502
171,MC_UIC,MC_uicDestroy,void MC_uicDestroy(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x0c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:537
172,MC_UIC,MC_uicRepaint,"void MC_uicRepaint(MC_UicComponent cc, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x10,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:552
173,MC_UIC,MC_uicPaint,"void MC_uicPaint(MC_UicComponent cc, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x14,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:571
174,MC_UIC,MC_uicGetClassName,M_Uint8 *MC_uicGetClassName(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x18,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:583
175,MC_UIC,MC_uicIsInstance,"M_Uint32 MC_uicIsInstance(MC_UicComponent cc, M_Uint8 *pcls)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x1c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:590
176,MC_UIC,MC_uicHandleEvent,"M_Int32 MC_uicHandleEvent(MC_UicComponent cc, M_Int32 type, M_Int32 param1, M_Int32 param2)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x20,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:600
177,MC_UIC,MC_uicConfigure,"void MC_uicConfigure(MC_UicComponent cc, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h, M_Int32 mask)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x24,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:617
178,MC_UIC,MC_uicGetGeometry,"void MC_uicGetGeometry(MC_UicComponent cc, M_Int32 *px, M_Int32 *py, M_Int32 *pw, M_Int32 *ph)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x28,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:635
179,MC_UIC,MC_uicSetEnable,"void MC_uicSetEnable(MC_UicComponent cc, M_Int32 enable)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x2c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:657
180,MC_UIC,MC_uicSetCallback,"MC_UicCallbackProc MC_uicSetCallback(MC_UicComponent cc, M_Int32 idx, MC_UicCallbackProc proc, M_Int32 clientData)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x30,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:682
181,MC_UIC,MC_uicSetEventHandler,"MC_UicEventHandlerProc MC_uicSetEventHandler(MC_UicComponent cc, MC_UicEventHandlerProc handler)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x34,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:697
182,MC_UIC,MC_uicSetFont,"M_Int32 MC_uicSetFont(MC_UicComponent cc, M_Int32 fontid)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x38,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:711
183,MC_UIC,MC_uicGetFont,M_Int32 MC_uicGetFont(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x3c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:724
184,MC_UIC,MC_uicSetFgColor,"void MC_uicSetFgColor(MC_UicComponent cc, M_Int32 nColor)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x40,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:731
185,MC_UIC,MC_uicSetBgColor,"void MC_uicSetBgColor(MC_UicComponent cc, M_Int32 nColor)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x44,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:740
186,MC_UIC,MC_uicSetLabel,"void MC_uicSetLabel(MC_UicComponent cc, M_Uint8 *psz)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x48,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:749
187,MC_UIC,MC_uicGetLabel,M_Uint8 *MC_uicGetLabel(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x4c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:766
188,MC_UIC,MC_uicSetlabelAlignment,"M_Int32 MC_uicSetlabelAlignment(MC_UicComponent cc, M_Int32 align)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x50,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:776
189,MC_UIC,MC_uicSetTimeMask,"M_Int32 MC_uicSetTimeMask(MC_UicComponent cc, M_Int32 mask)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x54,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:790
190,MC_UIC,MC_uicSetTime,"void MC_uicSetTime(MC_UicComponent cc, struct tm *pd)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x58,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:803
191,MC_UIC,MC_uicSetTimeLong,"void MC_uicSetTimeLong(MC_UicComponent cc, time_t time_value)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x5c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:814
192,MC_UIC,MC_uicGetTime,"void MC_uicGetTime(MC_UicComponent cc, struct tm *pd)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x60,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:823
193,MC_UIC,MC_uicAddMenuItem,"M_Int32 MC_uicAddMenuItem(MC_UicComponent cc, M_Uint8 *psz, MC_GrpImage img)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x64,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:832
194,MC_UIC,MC_uicGetMenuItem,"M_Int32 MC_uicGetMenuItem(MC_UicComponent cc, M_Uint32 idx, M_Uint8 *psz, M_Int32 buflen, MC_GrpImage *img)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x68,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:847
195,MC_UIC,MC_uicRemoveMenuItem,"M_Int32 MC_uicRemoveMenuItem(MC_UicComponent cc, M_Uint32 idx)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x6c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:859
196,MC_UIC,MC_uicSetActiveMenuItem,"M_Int32 MC_uicSetActiveMenuItem(MC_UicComponent cc, M_Int32 idx)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x70,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:877
197,MC_UIC,MC_uicGetActiveMenuItem,M_Int32 MC_uicGetActiveMenuItem(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x74,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:893
198,MC_UIC,MC_uicInsertText,"M_Int32 MC_uicInsertText(MC_UicComponent cc, M_Int32 idx, M_Uint8 *psz, M_Int32 len)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x78,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:901
199,MC_UIC,MC_uicDeleteText,"void MC_uicDeleteText(MC_UicComponent cc, M_Int32 idx, M_Int32 len)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x7c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:941
200,MC_UIC,MC_uicGetMaxTextSize,M_Int32 MC_uicGetMaxTextSize(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x80,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:961
201,MC_UIC,MC_uicSetMaxTextSize,"M_Int32 MC_uicSetMaxTextSize(MC_UicComponent cc, M_Int32 max)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x84,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:969
202,MC_UIC,MC_uicGetTextSize,M_Int32 MC_uicGetTextSize(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x88,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:985
203,MC_UIC,MC_uicGetText,"M_Int32 MC_uicGetText(MC_UicComponent cc, M_Int32 idx, M_Uint8 *pszBuf, M_Int32 len)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x8c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:993
204,MC_UIC,MC_uicAddListItem,"M_Int32 MC_uicAddListItem(MC_UicComponent cc, M_Uint8 *psz, MC_GrpImage img)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x90,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:1020
205,MC_UIC,MC_uicGetListItem,"M_Int32 MC_uicGetListItem(MC_UicComponent cc, M_Uint32 idx, M_Uint8 *psz, M_Int32 buflen, MC_GrpImage *img)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x94,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:1035
206,MC_UIC,MC_uicRemoveListItem,"M_Int32 MC_uicRemoveListItem(MC_UicComponent cc, M_Uint32 idx)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x98,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:1047
207,MC_UIC,MC_uicSetActiveListItem,"M_Int32 MC_uicSetActiveListItem(MC_UicComponent cc, M_Int32 idx)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x9c,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:1065
208,MC_UIC,MC_uicGetActiveListItem,M_Int32 MC_uicGetActiveListItem(MC_UicComponent cc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0xa0,anycall_magichole:analysis/decompiled/wipi_mc_uic_spec_adapter.c:1081
209,CSTDLIB,strcpy,"char *strcpy(char *dst, const char *src)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x00,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:270
210,CSTDLIB,strncpy,"char *strncpy(char *dst, const char *src, size_t n)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x04,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:280
211,CSTDLIB,strcat,"char *strcat(char *dst, const char *src)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x08,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:296
212,CSTDLIB,strncat,"char *strncat(char *dst, const char *src, size_t n)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x0c,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:309
213,CSTDLIB,strcmp,"int strcmp(const char *a, const char *b)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x10,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:325
214,CSTDLIB,strncmp,"int strncmp(const char *a, const char *b, size_t n)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x14,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:338
215,CSTDLIB,strchr,"char *strchr(const char *s, int c)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x18,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:355
216,CSTDLIB,strrchr,"char *strrchr(const char *s, int c)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x1c,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:369
217,CSTDLIB,strspn,"size_t strspn(const char *s, const char *accept)",local,local-word,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x20,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:394
218,CSTDLIB,strcspn,"size_t strcspn(const char *s, const char *reject)",local,local-word,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x24,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:406
219,CSTDLIB,strpbrk,"char *strpbrk(const char *s, const char *accept)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x28,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:418
220,CSTDLIB,strstr,"char *strstr(const char *haystack, const char *needle)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x2c,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:430
221,CSTDLIB,strlen,size_t strlen(const char *s),local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x30,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:455
222,CSTDLIB,strtok,"char *strtok(char *s, const char *delim)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x34,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:466
223,CSTDLIB,memcpy,"void *memcpy(void *dst, const void *src, size_t n)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x38,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:499
224,CSTDLIB,memmove,"void *memmove(void *dst, const void *src, size_t n)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x3c,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:512
225,CSTDLIB,memcmp,"int memcmp(const void *a, const void *b, size_t n)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x40,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:537
226,CSTDLIB,memchr,"void *memchr(const void *s, int c, size_t n)",local,local-word,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x44,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:554
227,CSTDLIB,memset,"void *memset(void *s, int c, size_t n)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x48,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:570
228,CSTDLIB,atof,double atof(const char *s),local,local-scalar64,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x4c,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:783
229,CSTDLIB,atoi,int atoi(const char *s),local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x50,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:697
230,CSTDLIB,atoll,long long atoll(const char *s),local,local-scalar64,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x54,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:702
231,CSTDLIB,strtod,"double strtod(const char *s, char **endptr)",local,local-scalar64,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x58,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:724
232,CSTDLIB,strtol,"long strtol(const char *s, char **endptr, int base)",local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x5c,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:635
233,CSTDLIB,strtoul,"unsigned long strtoul(const char *s, char **endptr, int base)",local,local-word,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x60,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:583
234,CSTDLIB,clock,clock_t clock(void),local,local-word,candidate,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x64,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:788
235,CSTDLIB,time,time_t time(time_t *timer),local,local-word,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x68,anycall_magichole:analysis/decompiled/wipi_cstdlib_spec_adapter.c:793
